Assembly Accession	Species	Lineage	Lineage (reformat)
GCA_030737835.1	Acorus gramineus	Liliopsida;Acorales;Acoraceae;Acorus;Acorus gramineus	Eukaryota;Streptophyta;Magnoliopsida;Acorales;Acoraceae;Acorus;Acorus gramineus
GCA_037176725.1	Posidonia oceanica	Liliopsida;Alismatales;Posidoniaceae;Posidonia;Posidonia oceanica	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Posidoniaceae;Posidonia;Posidonia oceanica
GCA_012295165.1	Asparagus setaceus	Liliopsida;Petrosaviidae;Asparagales;Asparagaceae;Asparagoideae;Asparagus;Asparagus setaceus	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Asparagaceae;Asparagus;Asparagus setaceus
GCA_006176705.1	Cocos nucifera	Liliopsida;Petrosaviidae;commelinids;Arecales;Arecaceae;Arecoideae;Cocoseae;Attaleinae;Cocos;Cocos nucifera	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Cocos;Cocos nucifera
GCA_027726005.1	Juncus effusus	Liliopsida;Petrosaviidae;commelinids;Poales;Juncaceae;Juncus;Juncus effusus	Eukaryota;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus effusus
GCF_001433935.1	Oryza sativa Japonica Group	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Oryzoideae;Oryzeae;Oryzinae;Oryza;Oryza sativa;Oryza sativa Japonica Group	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Oryza;Oryza sativa
GCA_023646675.1	Avena sativa	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Poodae;Poeae;Poeae Chloroplast Group 1 (Aveneae type);Aveninae;Avena;Avena sativa	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Avena;Avena sativa
GCA_000005505.4	Brachypodium distachyon	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Stipodae;Brachypodieae;Brachypodium;Brachypodium distachyon	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Brachypodium;Brachypodium distachyon
GCA_904849725.1	Hordeum vulgare subsp. vulgare	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Hordeinae;Hordeum;Hordeum vulgare;Hordeum vulgare subsp. vulgare	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Hordeum;Hordeum vulgare
GCA_902687465.1	Secale cereale	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Hordeinae;Secale;Secale cereale	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Secale;Secale cereale
GCA_021605205.1	Aegilops longissima	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Triticinae;Aegilops;Aegilops longissima	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Aegilops;Aegilops longissima
GCF_002575655.2	Aegilops tauschii subsp. strangulata	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Triticinae;Aegilops;Aegilops tauschii;Aegilops tauschii subsp. strangulata	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Aegilops;Aegilops tauschii
GCA_018294505.1	Triticum aestivum	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Triticinae;Triticum;Triticum aestivum	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum aestivum
GCA_030411765.1	Eleusine indica	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Chloridoideae;Cynodonteae;Eleusininae;Eleusine;Eleusine indica	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Eleusine;Eleusine indica
GCA_903166285.1	Sorghum bicolor	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Panicoideae;Andropogonodae;Andropogoneae;Sorghinae;Sorghum;Sorghum bicolor	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Sorghum;Sorghum bicolor
GCF_902167145.1	Zea mays	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Panicoideae;Andropogonodae;Andropogoneae;Tripsacinae;Zea;Zea mays	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Zea;Zea mays
