GCA_903166285.1_CAESBL010000005.1_000995.1	CAESBL010000005.1:73147415-73151639(+)	GCA_903166285.1_CAESBL010000005.1_001223.1	CAESBL010000005.1:73237690-73250761(-)	MLKL -> <- NLR	86051
GCA_903166285.1_CAESBL010000005.1_001045.1	CAESBL010000005.1:74196420-74203900(+)	GCA_903166285.1_CAESBL010000005.1_001041.1	CAESBL010000005.1:74098205-74107329(+)	NLR -> MLKL ->	89091
GCA_903166285.1_CAESBL010000005.1_001045.1	CAESBL010000005.1:74196420-74203900(+)	GCA_903166285.1_CAESBL010000005.1_001043.1	CAESBL010000005.1:74173055-74184270(+)	NLR -> MLKL ->	12150
GCA_903166285.1_CAESBL010000005.1_001045.1	CAESBL010000005.1:74196420-74203900(+)	GCA_903166285.1_CAESBL010000005.1_001166.1	CAESBL010000005.1:74212098-74221595(-)	MLKL -> <- NLR	8198
GCA_903166285.1_CAESBL010000005.1_001045.1	CAESBL010000005.1:74196420-74203900(+)	GCA_903166285.1_CAESBL010000005.1_001046.1	CAESBL010000005.1:74232294-74242230(+)	MLKL -> NLR ->	28394
GCA_903166285.1_CAESBL010000005.1_001045.1	CAESBL010000005.1:74196420-74203900(+)	GCA_903166285.1_CAESBL010000005.1_001165.1	CAESBL010000005.1:74268637-74277420(-)	MLKL -> <- NLR	64737
GCA_903166285.1_CAESBL010000010.1_001140.1	CAESBL010000010.1:57729142-57736283(+)	GCA_903166285.1_CAESBL010000010.1_001531.1	CAESBL010000010.1:57772170-57774813(-)	MLKL -> <- NLR	35887
GCA_903166285.1_CAESBL010000010.1_001140.1	CAESBL010000010.1:57729142-57736283(+)	GCA_903166285.1_CAESBL010000010.1_001530.1	CAESBL010000010.1:57779540-57782164(-)	MLKL -> <- NLR	43257
GCA_903166285.1_CAESBL010000010.1_001141.1	CAESBL010000010.1:57737154-57741614(+)	GCA_903166285.1_CAESBL010000010.1_001531.1	CAESBL010000010.1:57772170-57774813(-)	MLKL -> <- NLR	30556
GCA_903166285.1_CAESBL010000010.1_001141.1	CAESBL010000010.1:57737154-57741614(+)	GCA_903166285.1_CAESBL010000010.1_001530.1	CAESBL010000010.1:57779540-57782164(-)	MLKL -> <- NLR	37926
