GCF_001433935.1_NC_029256.1_000151.1	IPR011009	SUPERFAMILY_IPR011009:300-585;Pfam_IPR000719:318-583;SMART_IPR000719:315-585;ProSiteProfiles_IPR000719:315-589;Pfam_IPR025287:25-89;Pfam_IPR032872:177-225	PF00069:318-583;PF13947:25-89;PF14380:177-225	3.30.200.20:289-389;1.10.510.10:390-601	SSF56112:300-585	SM00220:315-585	PS50011:315-589		
GCF_001433935.1_NC_029266.1_002383.1	IPR011009	Pfam_IPR004147:189-433;SUPERFAMILY_IPR011009:190-428;ProSiteProfiles_IPR000719:219-550	PF03109:189-433	1.10.510.10:217-420	SSF56112:190-428		PS50011:219-550	cd05121:189-435	
GCF_001433935.1_NC_029260.1_001024.1	IPR011009	Pfam_IPR013210:30-68;Pfam_IPR001611:165-186;Pfam_IPR001611:140-162;Pfam_IPR001611:261-277;Pfam_IPR001611:283-305;Pfam_IPR001611:117-138;SUPERFAMILY_IPR011009:582-877;Gene3D_IPR032675:277-410;ProSiteProfiles_IPR000719:606-878;Pfam_IPR000719:608-873;Gene3D_IPR032675:29-276;SMART_IPR000719:606-878	PF08263:30-68;PF00560:165-186;PF00560:140-162;PF00560:261-277;PF00560:283-305;PF00560:117-138;PF00069:608-873	1.10.510.10:682-886;3.80.10.10:277-410;3.30.200.20:577-681;3.80.10.10:29-276	SSF56112:582-877;SSF52058:44-411	SM00220:606-878	PS50011:606-878	cd14066:612-878	
GCF_001433935.1_NC_029259.1_001490.1	IPR011009	SMART_IPR000719:92-365;ProSiteProfiles_IPR000719:92-379;Pfam_IPR001245:95-365;SUPERFAMILY_IPR011009:76-366	PF07714:95-365	1.10.510.10:169-381;3.30.200.20:70-168	SSF56112:76-366	SM00220:92-365	PS50011:92-379		
GCF_001433935.1_NC_029259.1_000940.1	IPR011009	ProSiteProfiles_IPR000719:365-656;SMART_IPR000719:365-656;SUPERFAMILY_IPR011009:357-662;CDD_IPR045267:359-656;Pfam_IPR000719:365-656	PF00069:365-656	3.30.200.20:350-447;1.10.510.10:448-687	SSF56112:357-662	SM00220:365-656	PS50011:365-656	cd07843:359-656	
GCF_001433935.1_NC_029261.1_001246.1	IPR011009	SMART_IPR000719:256-522;SUPERFAMILY_IPR011009:236-522;ProSiteProfiles_IPR000719:256-529;Pfam_IPR001245:259-522	PF07714:259-522	3.30.200.20:232-332;1.10.510.10:334-544	SSF56112:236-522	SM00220:256-522	PS50011:256-529		
GCF_001433935.1_NC_029257.1_003429.1	IPR011009	Pfam_IPR000719:74-358;CDD_IPR039192:69-361;ProSiteProfiles_IPR000719:74-358;SUPERFAMILY_IPR011009:73-383;SMART_IPR000719:74-358	PF00069:74-358	1.10.510.10:154-401;3.30.200.20:59-153	SSF56112:73-383	SM00220:74-358	PS50011:74-358	cd14137:69-361	
GCF_001433935.1_NC_029264.1_000089.1	IPR011009	Pfam_IPR004147:247-493;SUPERFAMILY_IPR011009:249-492	PF03109:247-493		SSF56112:249-492			cd05121:247-494	
GCF_001433935.1_NC_029262.1_001023.1	IPR011009	Pfam_IPR001245:323-591;Pfam_IPR002902:163-253;Pfam_IPR002902:27-97;Gene3D_IPR038408:150-255;Gene3D_IPR038408:23-137;ProSiteProfiles_IPR002902:148-256;ProSiteProfiles_IPR002902:21-128;SMART_IPR000719:320-591;SUPERFAMILY_IPR011009:305-613;ProSiteProfiles_IPR000719:320-598	PF07714:323-591;PF01657:163-253;PF01657:27-97	3.30.430.20:150-255;3.30.430.20:23-137;3.30.200.20:285-396;1.10.510.10:397-603	SSF56112:305-613	SM00220:320-591	PS51473:148-256;PS51473:21-128;PS50011:320-598	cd14066:326-592	
GCF_001433935.1_NC_029259.1_002795.1	IPR011009	SMART_IPR000742:304-343;SMART_IPR000742:250-300;SUPERFAMILY_IPR011009:414-715;SMART_IPR001881:301-343;Pfam_IPR025287:31-91;SMART_IPR000719:429-693;Pfam_IPR000719:429-683;ProSiteProfiles_IPR000719:429-695;Pfam_IPR049883:301-335	PF13947:31-91;PF00069:429-683;PF07645:301-335	3.30.200.20:410-503;2.10.25.10:248-340;1.10.510.10:504-704	SSF56112:414-715;SSF57196:301-334	SM00181:304-343;SM00181:250-300;SM00179:301-343;SM00220:429-693	PS50011:429-695	cd00054:301-334	
GCF_001433935.1_NC_029256.1_004934.1	IPR011009	Pfam_IPR025287:35-100;ProSiteProfiles_IPR000719:383-669;SUPERFAMILY_IPR011009:364-654;SMART_IPR000719:383-654;Pfam_IPR000719:386-652	PF13947:35-100;PF00069:386-652	1.10.510.10:460-662;3.30.200.20:358-459	SSF56112:364-654	SM00220:383-654	PS50011:383-669		
GCF_001433935.1_NC_029259.1_001934.1	IPR011009	Pfam_IPR024788:76-396;SMART_IPR000719:517-790;SUPERFAMILY_IPR011009:492-789;Pfam_IPR001245:523-783;ProSiteProfiles_IPR000719:517-789	PF12819:76-396;PF07714:523-783	3.30.200.20:478-592;1.10.510.10:593-809;2.60.120.430:216-398;2.60.120.430:26-188	SSF56112:492-789	SM00220:517-790	PS50011:517-789	cd14066:523-788	
GCF_001433935.1_NC_029261.1_000960.1	IPR011009	Pfam_IPR000719:620-825;Pfam_IPR001611:504-525;Pfam_IPR001611:297-319;Pfam_IPR001611:417-436;Pfam_IPR001611:457-477;Pfam_IPR001611:322-341;Pfam_IPR001611:154-175;Pfam_IPR001611:482-501;Pfam_IPR001611:252-272;SUPERFAMILY_IPR011009:610-830;ProSiteProfiles_IPR000719:617-837;Pfam_IPR001611:86-139;SMART_IPR000719:617-835;Gene3D_IPR032675:295-545;Gene3D_IPR032675:193-294;Gene3D_IPR032675:39-192	PF00069:620-825;PF00560:504-525;PF00560:297-319;PF00560:417-436;PF00560:457-477;PF00560:322-341;PF00560:154-175;PF00560:482-501;PF00560:252-272;PF13855:86-139	1.10.510.10:698-836;3.80.10.10:295-545;3.80.10.10:193-294;3.80.10.10:39-192;3.30.200.20:593-697	SSF52058:57-290;SSF56112:610-830;SSF52058:295-533	SM00220:617-835	PS50011:617-837		
GCF_001433935.1_NC_029265.1_000127.1	IPR011009	ProSiteProfiles_IPR000719:44-309;Pfam_IPR000719:44-309;SUPERFAMILY_IPR011009:40-319;SMART_IPR000719:44-309	PF00069:44-309	3.30.200.20:37-136;1.10.510.10:137-319	SSF56112:40-319	SM00220:44-309	PS50011:44-309		
GCF_001433935.1_NC_029267.1_001482.1	IPR011009	ProSiteProfiles_IPR000719:127-415;Pfam_IPR000719:127-415;SUPERFAMILY_IPR011009:122-420;SMART_IPR000719:127-415	PF00069:127-415	3.30.200.20:122-210;1.10.510.10:211-452	SSF56112:122-420	SM00220:127-415	PS50011:127-415	cd07840:127-415	
GCF_001433935.1_NC_029257.1_000084.1	IPR011009	ProSiteProfiles_IPR000719:98-380;SMART_IPR000719:98-380;SUPERFAMILY_IPR011009:92-383;Pfam_IPR000719:98-380	PF00069:98-380	3.30.200.20:95-178;1.10.510.10:179-385	SSF56112:92-383	SM00220:98-380	PS50011:98-380	cd07835:98-380	
GCF_001433935.1_NC_029258.1_000253.1	IPR011009	Pfam_IPR001245:736-987;ProSiteProfiles_IPR000719:735-994;SMART_IPR000719:735-990;PRINTS_IPR001245:958-980;PRINTS_IPR001245:848-866;PRINTS_IPR001245:914-936;PRINTS_IPR001245:895-905;PRINTS_IPR001245:809-822;SUPERFAMILY_IPR011009:725-1010	PF07714:736-987;PF14381:140-337	1.10.510.10:814-998;3.30.200.20:728-812	SSF56112:725-1010	SM00220:735-990	PS50011:735-994	cd13999:741-987	PR00109:958-980;PR00109:848-866;PR00109:914-936;PR00109:895-905;PR00109:809-822
GCF_001433935.1_NC_029265.1_000335.1	IPR011009	ProSiteProfiles_IPR000719:722-1029;Pfam_IPR001245:725-1013;SMART_IPR003591:476-500;SMART_IPR003591:525-549;SMART_IPR003591:228-252;SMART_IPR003591:108-132;SMART_IPR003591:573-596;SMART_IPR003591:597-622;SMART_IPR003591:428-452;SMART_IPR003591:156-179;Pfam_IPR013210:33-79;Gene3D_IPR032675:33-153;Gene3D_IPR032675:251-348;SUPERFAMILY_IPR011009:701-1014;Gene3D_IPR032675:349-644;Gene3D_IPR032675:154-250;Pfam_IPR001611:478-497;Pfam_IPR001611:455-476;Pfam_IPR001611:576-596;Pfam_IPR001611:430-452;Pfam_IPR001611:111-132;Pfam_IPR001611:530-549;Pfam_IPR001611:230-252;Pfam_IPR001611:506-525;SMART_IPR000719:722-1002;Pfam_IPR001611:135-191	PF07714:725-1013;PF08263:33-79;PF00560:478-497;PF00560:455-476;PF00560:576-596;PF00560:430-452;PF00560:111-132;PF00560:530-549;PF00560:230-252;PF00560:506-525;PF13855:135-191	3.30.200.20:682-805;1.10.510.10:806-1029;3.80.10.10:33-153;3.80.10.10:251-348;3.80.10.10:349-644;3.80.10.10:154-250	SSF52058:53-340;SSF56112:701-1014;SSF52058:383-639	SM00369:476-500;SM00369:525-549;SM00369:228-252;SM00369:108-132;SM00369:573-596;SM00369:597-622;SM00369:428-452;SM00369:156-179;SM00220:722-1002	PS50011:722-1029		
GCF_001433935.1_NC_029262.1_000277.1	IPR011009	ProSiteProfiles_IPR000719:493-764;Pfam_IPR001611:166-218;Gene3D_IPR032675:26-252;Pfam_IPR001245:495-759;SUPERFAMILY_IPR011009:475-764;Gene3D_IPR032675:253-350	PF13855:166-218;PF07714:495-759	3.30.200.20:466-575;1.10.510.10:576-781;3.80.10.10:26-252;3.80.10.10:253-350	SSF56112:475-764;SSF52058:101-340		PS50011:493-764		
GCF_001433935.1_NC_029257.1_003741.1	IPR011009	SMART_IPR000719:767-1040;Gene3D_IPR032675:41-322;Pfam_IPR001611:304-326;Pfam_IPR001611:353-375;Pfam_IPR001611:602-624;Pfam_IPR001611:213-231;Pfam_IPR001611:579-599;Gene3D_IPR032675:323-678;Pfam_IPR001611:453-512;Pfam_IPR013210:44-81;Pfam_IPR025875:256-297;ProSiteProfiles_IPR000719:767-1040;Pfam_IPR001245:770-1037;SUPERFAMILY_IPR011009:756-1037;SMART_IPR003591:107-131;SMART_IPR003591:278-302;SMART_IPR003591:576-600;SMART_IPR003591:351-375;SMART_IPR003591:475-499	PF00560:304-326;PF00560:353-375;PF00560:602-624;PF00560:213-231;PF00560:579-599;PF13855:453-512;PF08263:44-81;PF12799:256-297;PF07714:770-1037	3.80.10.10:41-322;3.80.10.10:323-678;3.30.200.20:729-842;1.10.510.10:843-1048	SSF52058:65-340;SSF52058:241-650;SSF56112:756-1037	SM00220:767-1040;SM00369:107-131;SM00369:278-302;SM00369:576-600;SM00369:351-375;SM00369:475-499	PS50011:767-1040	cd14066:773-1040	
GCF_001433935.1_NC_029261.1_002505.1	IPR011009	Pfam_IPR001220:38-298;Pfam_IPR000719:375-579;SUPERFAMILY_IPR013320:38-305;ProSiteProfiles_IPR000719:372-660;CDD_IPR001220:39-287;SMART_IPR000719:372-651;SUPERFAMILY_IPR011009:353-663	PF00139:38-298;PF00069:375-579	2.60.120.200:36-289;1.10.510.10:451-656;3.30.200.20:332-450	SSF49899:38-305;SSF56112:353-663	SM00220:372-651	PS50011:372-660	cd14066:378-653;cd06899:39-287	
GCF_001433935.1_NC_029256.1_000916.1	IPR011009	SMART_IPR000719:305-584;SUPERFAMILY_IPR011009:281-580;ProSiteProfiles_IPR000719:305-589;Pfam_IPR043891:33-173;Pfam_IPR001245:308-579	PF19160:33-173;PF07714:308-579	1.10.510.10:386-586;3.30.200.20:264-384	SSF56112:281-580	SM00220:305-584	PS50011:305-589	cd14066:311-580	
GCF_001433935.1_NC_029260.1_002605.1	IPR011009	Pfam_IPR001245:133-405;ProSiteProfiles_IPR000719:129-409;SUPERFAMILY_IPR011009:113-405	PF07714:133-405	1.10.510.10:205-420;3.30.200.20:95-204	SSF56112:113-405		PS50011:129-409		
GCF_001433935.1_NC_029265.1_002095.1	IPR011009	SMART_IPR000719:48-313;ProSiteProfiles_IPR000719:48-313;SUPERFAMILY_IPR011009:40-322;Pfam_IPR000719:48-313	PF00069:48-313	3.30.200.20:41-141;1.10.510.10:142-323	SSF56112:40-322	SM00220:48-313	PS50011:48-313		
GCF_001433935.1_NC_029258.1_002344.1	IPR011009	SUPERFAMILY_IPR011009:50-336;ProSiteProfiles_IPR000719:59-324;Pfam_IPR001245:61-320;PRINTS_IPR001245:173-191;PRINTS_IPR001245:135-148;PRINTS_IPR001245:247-269;PRINTS_IPR001245:291-313;SMART_IPR000719:59-324	PF07714:61-320	1.10.510.10:141-365;3.30.200.20:48-138	SSF56112:50-336	SM00220:59-324	PS50011:59-324	cd13999:65-320	PR00109:173-191;PR00109:135-148;PR00109:247-269;PR00109:291-313
GCF_001433935.1_NC_029256.1_004632.1	IPR011009	ProSiteProfiles_IPR000719:712-988;Pfam_IPR001245:716-985;SUPERFAMILY_IPR011009:693-985	PF07714:716-985	1.10.510.10:788-995;3.30.200.20:687-787	SSF56112:693-985		PS50011:712-988	cd14066:718-986	
GCF_001433935.1_NC_029266.1_000548.1	IPR011009	Pfam_IPR000719:13-304;ProSiteProfiles_IPR000719:13-304;SUPERFAMILY_IPR011009:9-309;SMART_IPR000719:13-304	PF00069:13-304	1.10.510.10:99-327;3.30.200.20:28-349	SSF56112:9-309	SM00220:13-304	PS50011:13-304	cd07859:12-349	
GCF_001433935.1_NC_029257.1_003740.1	IPR011009	Pfam_IPR013210:47-84;SMART_IPR000719:778-1051;Pfam_IPR001611:458-517;Gene3D_IPR032675:47-159;Pfam_IPR000719:779-1045;Gene3D_IPR032675:163-278;SMART_IPR003591:504-528;SMART_IPR003591:356-380;SMART_IPR003591:185-209;SMART_IPR003591:283-306;SMART_IPR003591:404-427;SMART_IPR003591:307-331;SMART_IPR003591:110-134;SMART_IPR003591:610-633;SMART_IPR003591:586-609;SUPERFAMILY_IPR011009:758-1048;Gene3D_IPR032675:351-688;Pfam_IPR001611:612-634;Pfam_IPR001611:588-610;Pfam_IPR001611:358-380;Pfam_IPR001611:113-131;Pfam_IPR001611:310-331;Pfam_IPR001611:187-208;Pfam_IPR001611:566-586;Pfam_IPR001611:285-307;Pfam_IPR001611:212-234;Pfam_IPR001611:163-180;Gene3D_IPR032675:279-350;ProSiteProfiles_IPR000719:778-1055	PF08263:47-84;PF13855:458-517;PF00069:779-1045;PF00560:612-634;PF00560:588-610;PF00560:358-380;PF00560:113-131;PF00560:310-331;PF00560:187-208;PF00560:566-586;PF00560:285-307;PF00560:212-234;PF00560:163-180	3.80.10.10:47-159;3.30.200.20:737-853;3.80.10.10:163-278;3.80.10.10:351-688;3.80.10.10:279-350;1.10.510.10:854-1063	SSF52047:216-657;SSF52058:43-275;SSF56112:758-1048	SM00220:778-1051;SM00369:504-528;SM00369:356-380;SM00369:185-209;SM00369:283-306;SM00369:404-427;SM00369:307-331;SM00369:110-134;SM00369:610-633;SM00369:586-609;SM00365:307-333;SM00365:283-304;SM00365:380-406;SM00365:610-636;SM00365:480-509	PS50011:778-1055	cd14066:784-1051	PR00019:610-623;PR00019:507-520
GCF_001433935.1_NC_029259.1_002290.1	IPR011009	SUPERFAMILY_IPR011009:5-290;SMART_IPR000719:9-287;Pfam_IPR000719:10-227;ProSiteProfiles_IPR000719:9-278	PF00069:10-227	1.10.510.10:1-332	SSF56112:5-290	SM00220:9-287	PS50011:9-278	cd14125:8-282	
GCF_001433935.1_NC_029261.1_001609.1	IPR011009	ProSiteProfiles_IPR000719:30-136;Pfam_IPR001245:40-117;SUPERFAMILY_IPR011009:39-135	PF07714:40-117	1.10.510.10:35-136	SSF56112:39-135		PS50011:30-136		
GCF_001433935.1_NC_029263.1_001583.1	IPR011009	SMART_IPR001881:309-351;SMART_IPR000719:428-645;Pfam_IPR025287:49-109;ProSiteProfiles_IPR000719:352-645;Pfam_IPR000719:482-636;SUPERFAMILY_IPR011009:410-641	PF13947:49-109;PF00069:482-636	2.10.25.10:269-346;1.10.510.10:484-671;1.10.510.10:413-483	SSF57196:309-344;SSF56112:410-641	SM00179:309-351;SM00220:428-645	PS50011:352-645	cd00054:309-342	
GCF_001433935.1_NC_029258.1_002248.1	IPR011009	Pfam_IPR025287:42-88;Pfam_IPR025287:312-369;ProSiteProfiles_IPR000719:574-848;Pfam_IPR000719:577-841;SUPERFAMILY_IPR011009:553-845;SMART_IPR000719:574-848;SMART_IPR001881:472-510	PF13947:42-88;PF13947:312-369;PF00069:577-841	2.10.25.10:431-504;1.10.510.10:650-868;3.30.200.20:538-649	SSF56112:553-845	SM00220:574-848;SM00179:472-510	PS50011:574-848	cd00054:472-499;cd14066:580-848	
