GCA_000005505.4_CM000883.3_004988.1	CM000883.3:6836897-6838363(-)	GCA_000005505.4_CM000883.3_004990.1	CM000883.3:6820632-6822347(-)	MLKL -> NLR ->	14550
GCA_000005505.4_CM000883.3_004988.1	CM000883.3:6836897-6838363(-)	GCA_000005505.4_CM000883.3_000512.1	CM000883.3:6825350-6826972(+)	MLKL -> <- NLR	9925
GCA_000005505.4_CM000883.3_004988.1	CM000883.3:6836897-6838363(-)	GCA_000005505.4_CM000883.3_000513.1	CM000883.3:6828024-6829544(+)	MLKL -> <- NLR	7353
GCA_000005505.4_CM000883.3_004799.1	CM000883.3:10093364-10097844(-)	GCA_000005505.4_CM000883.3_004794.1	CM000883.3:10195901-10206620(-)	NLR -> MLKL ->	98057
GCA_000005505.4_CM000883.3_000697.1	CM000883.3:10239864-10241622(+)	GCA_000005505.4_CM000883.3_004794.1	CM000883.3:10195901-10206620(-)	<- MLKL NLR ->	33244
GCA_000005505.4_CM000883.3_000697.1	CM000883.3:10239864-10241622(+)	GCA_000005505.4_CM000883.3_000693.1	CM000883.3:10206596-10209937(+)	NLR -> MLKL ->	29927
GCA_000005505.4_CM000883.3_000698.1	CM000883.3:10244051-10245777(+)	GCA_000005505.4_CM000883.3_004794.1	CM000883.3:10195901-10206620(-)	<- MLKL NLR ->	37431
GCA_000005505.4_CM000883.3_000698.1	CM000883.3:10244051-10245777(+)	GCA_000005505.4_CM000883.3_000693.1	CM000883.3:10206596-10209937(+)	NLR -> MLKL ->	34114
GCA_000005505.4_CM000883.3_000699.1	CM000883.3:10248185-10249948(+)	GCA_000005505.4_CM000883.3_004794.1	CM000883.3:10195901-10206620(-)	<- MLKL NLR ->	41565
GCA_000005505.4_CM000883.3_000699.1	CM000883.3:10248185-10249948(+)	GCA_000005505.4_CM000883.3_000693.1	CM000883.3:10206596-10209937(+)	NLR -> MLKL ->	38248
GCA_000005505.4_CM000883.3_000700.1	CM000883.3:10252030-10253748(+)	GCA_000005505.4_CM000883.3_004794.1	CM000883.3:10195901-10206620(-)	<- MLKL NLR ->	45410
GCA_000005505.4_CM000883.3_000700.1	CM000883.3:10252030-10253748(+)	GCA_000005505.4_CM000883.3_000693.1	CM000883.3:10206596-10209937(+)	NLR -> MLKL ->	42093
GCA_000005505.4_CM000883.3_004788.1	CM000883.3:10303031-10306284(-)	GCA_000005505.4_CM000883.3_004794.1	CM000883.3:10195901-10206620(-)	MLKL -> NLR ->	96411
GCA_000005505.4_CM000883.3_004788.1	CM000883.3:10303031-10306284(-)	GCA_000005505.4_CM000883.3_000693.1	CM000883.3:10206596-10209937(+)	MLKL -> <- NLR	93094
GCA_000005505.4_CM000883.3_004788.1	CM000883.3:10303031-10306284(-)	GCA_000005505.4_CM000883.3_000705.1	CM000883.3:10362303-10365867(+)	<- MLKL NLR ->	56019
GCA_000005505.4_CM000883.3_004787.1	CM000883.3:10311241-10314115(-)	GCA_000005505.4_CM000883.3_000705.1	CM000883.3:10362303-10365867(+)	<- MLKL NLR ->	48188
GCA_000005505.4_CM000883.3_004785.1	CM000883.3:10329674-10332624(-)	GCA_000005505.4_CM000883.3_000705.1	CM000883.3:10362303-10365867(+)	<- MLKL NLR ->	29679
GCA_000005505.4_CM000883.3_000703.1	CM000883.3:10336567-10339552(+)	GCA_000005505.4_CM000883.3_000705.1	CM000883.3:10362303-10365867(+)	MLKL -> NLR ->	22751
GCA_000005505.4_CM000883.3_000704.1	CM000883.3:10343137-10346197(+)	GCA_000005505.4_CM000883.3_000705.1	CM000883.3:10362303-10365867(+)	MLKL -> NLR ->	16106
GCA_000005505.4_CM000883.3_000704.1	CM000883.3:10343137-10346197(+)	GCA_000005505.4_CM000883.3_000710.1	CM000883.3:10445140-10448567(+)	MLKL -> NLR ->	98943
GCA_000005505.4_CM000883.3_004784.1	CM000883.3:10347074-10349190(-)	GCA_000005505.4_CM000883.3_000705.1	CM000883.3:10362303-10365867(+)	<- MLKL NLR ->	13113
GCA_000005505.4_CM000883.3_004784.1	CM000883.3:10347074-10349190(-)	GCA_000005505.4_CM000883.3_000710.1	CM000883.3:10445140-10448567(+)	<- MLKL NLR ->	95950
GCA_000005505.4_CM000883.3_004780.1	CM000883.3:10356389-10357952(-)	GCA_000005505.4_CM000883.3_000705.1	CM000883.3:10362303-10365867(+)	<- MLKL NLR ->	4351
GCA_000005505.4_CM000883.3_004780.1	CM000883.3:10356389-10357952(-)	GCA_000005505.4_CM000883.3_000710.1	CM000883.3:10445140-10448567(+)	<- MLKL NLR ->	87188
GCA_000005505.4_CM000883.3_004780.1	CM000883.3:10356389-10357952(-)	GCA_000005505.4_CM000883.3_000711.1	CM000883.3:10449268-10451590(+)	<- MLKL NLR ->	91316
GCA_000005505.4_CM000883.3_000712.1	CM000883.3:10455598-10457151(+)	GCA_000005505.4_CM000883.3_000705.1	CM000883.3:10362303-10365867(+)	NLR -> MLKL ->	89731
GCA_000005505.4_CM000883.3_000712.1	CM000883.3:10455598-10457151(+)	GCA_000005505.4_CM000883.3_000710.1	CM000883.3:10445140-10448567(+)	NLR -> MLKL ->	7031
GCA_000005505.4_CM000883.3_000712.1	CM000883.3:10455598-10457151(+)	GCA_000005505.4_CM000883.3_000711.1	CM000883.3:10449268-10451590(+)	NLR -> MLKL ->	4008
