GCA_023646675.1_CM042698.1_005142.1	CM042698.1:432290004-432299635(-)	GCA_023646675.1_CM042698.1_002681.1	CM042698.1:432249956-432257482(+)	MLKL -> <- NLR	32522
GCA_023646675.1_CM042699.1_000282.1	CM042699.1:17657873-17659411(+)	GCA_023646675.1_CM042699.1_000284.1	CM042699.1:17686562-17700057(+)	MLKL -> NLR ->	27151
GCA_023646675.1_CM042699.1_003746.1	CM042699.1:31261553-31263475(-)	GCA_023646675.1_CM042699.1_003744.1	CM042699.1:31357136-31360408(-)	NLR -> MLKL ->	93661
GCA_023646675.1_CM042704.1_003951.1	CM042704.1:27538489-27539997(-)	GCA_023646675.1_CM042704.1_003954.1	CM042704.1:27492122-27505126(-)	MLKL -> NLR ->	33363
GCA_023646675.1_CM042706.1_002791.1	CM042706.1:451495409-451498671(-)	GCA_023646675.1_CM042706.1_002792.1	CM042706.1:451441163-451445077(-)	MLKL -> NLR ->	50332
GCA_023646675.1_CM042706.1_002791.1	CM042706.1:451495409-451498671(-)	GCA_023646675.1_CM042706.1_002395.1	CM042706.1:451539677-451542037(+)	<- MLKL NLR ->	41006
GCA_023646675.1_CM042714.1_001332.1	CM042714.1:108320975-108326816(+)	GCA_023646675.1_CM042714.1_006381.1	CM042714.1:108217453-108222164(-)	<- MLKL NLR ->	98811
GCA_023646675.1_CM042715.1_001751.1	CM042715.1:289185681-289189219(+)	GCA_023646675.1_CM042715.1_001742.1	CM042715.1:289102298-289106401(+)	NLR -> MLKL ->	79280
GCA_023646675.1_CM042715.1_001751.1	CM042715.1:289185681-289189219(+)	GCA_023646675.1_CM042715.1_001744.1	CM042715.1:289113799-289116237(+)	NLR -> MLKL ->	69444
GCA_023646675.1_CM042716.1_000136.1	CM042716.1:9417696-9420987(+)	GCA_023646675.1_CM042716.1_005842.1	CM042716.1:9400638-9403970(-)	<- MLKL NLR ->	13726
GCA_023646675.1_CM042716.1_000136.1	CM042716.1:9417696-9420987(+)	GCA_023646675.1_CM042716.1_000138.1	CM042716.1:9504215-9507589(+)	MLKL -> NLR ->	83228
